	^g	0.038850
	^f	0.043990
	^y	0.013720
	^b	0.053320
	^w	0.033700
	^q	0.006590
	^l	0.033850
	^t	0.067090
	^a	0.066330
	^s	0.085700
	^h	0.032080
	^3	0.003790
	^v	0.020600
	^e	0.040000
	^p	0.055030
	^1	0.007300
	^m	0.069150
	^i	0.037840
	^x	0.007880
	^c	0.065860
	^n	0.030190
	^r	0.031140
	^o	0.021600
	^k	0.021820
	^d	0.043410
	^u	0.019380
	^4	0.002220
	^z	0.010740
	^9	0.002710
	^j	0.019080
	^2	0.004490
	^5	0.004000
	^6	0.001570
	^8	0.001410
	^7	0.002100
	^0	0.001470
^g	go	0.228829
^g	gm	0.011326
^g	gl	0.055084
^g	gi	0.076190
^g	ga	0.180952
^g	gs	0.014414
^g	ge	0.140283
^g	gr	0.119691
^g	gu	0.067696
^g	gc	0.007722
^g	gt	0.009009
^g	gf	0.005405
^g	gy	0.004118
^g	gg	0.004633
^g	gn	0.006435
^g	gh	0.010553
^g	g9	0.000257
^g	gp	0.009009
^g	gq	0.004118
^g	gz	0.005663
^g	gv	0.004633
^g	gd	0.009781
^g	gk	0.004118
^g	g2	0.001287
^g	gx	0.003346
^g	gb	0.004633
^g	gw	0.004376
^g	g1	0.000515
^g	g-	0.002831
^g	g4	0.000515
^g	g5	0.000257
^g	g3	0.000257
^g	gj	0.001802
^g	g.	0.000257
go	oo	0.126961
go	o.	0.134063
go	od	0.021012
go	ou	0.026043
go	oa	0.016277
go	ov	0.288547
go	ot	0.026043
go	om	0.014501
go	og	0.019532
go	oc	0.013318
go	of	0.010358
go	os	0.059485
go	ol	0.059485
go	on	0.043208
go	oi	0.007399
go	oz	0.003551
go	or	0.029299
go	ox	0.000592
go	ob	0.048239
go	op	0.010654
go	o2	0.005623
go	oh	0.005031
go	o-	0.004439
go	ow	0.004143
go	o3	0.001184
go	oe	0.007103
go	oj	0.002664
go	oy	0.003255
go	oq	0.000592
go	o1	0.001184
go	o4	0.002072
go	ok	0.002664
go	o9	0.000592
go	o5	0.000296
go	o8	0.000296
go	o0	0.000296
oo	og	0.062982
oo	ok	0.212853
oo	o.	0.080206
oo	ot	0.069923
oo	ol	0.125707
oo	or	0.029563
oo	od	0.107712
oo	om	0.084833
oo	oo	0.017481
oo	op	0.040617
oo	ob	0.022108
oo	oz	0.011054
oo	ov	0.008226
oo	os	0.027506
oo	o-	0.002828
oo	on	0.055270
oo	oq	0.001799
