ip	class	tld	entropy	len	norm_entropy	vowel_ratio	digit_ratio	repeat_letter	consec_digit	consec_consonant	gib_value	hmm_log	uni_rank	bi_rank	tri_rank	uni_std	bi_std	tri_std	private_tld
trk4.com.	0	com	1.561	6.0	0.260	0.00	0.17	0.00	0.00	0.50	0.00	-18.13	15.75	346.20	7390.00	10.50	409.29	5543.24	0
templatic.com.	0	com	2.146	11.0	0.195	0.27	0.00	0.09	0.00	0.27	1.00	-21.43	7.22	83.40	307.78	4.05	69.33	216.78	0
lainformacion.com.	0	com	2.246	15.0	0.150	0.40	0.00	0.27	0.00	0.27	1.00	-30.11	6.92	93.79	564.54	4.81	82.13	551.24	0
ciudad.com.ar.	0	com.ar	1.733	8.0	0.217	0.38	0.00	0.12	0.00	0.00	0.00	-31.19	8.83	158.71	2470.50	4.26	128.96	2128.50	0
trialpay.com.	0	com	2.025	10.0	0.203	0.30	0.00	0.10	0.00	0.40	1.00	-20.95	7.88	95.33	653.25	5.60	94.77	530.28	0
minecraft.net.	0	net	2.272	11.0	0.207	0.27	0.00	0.00	0.00	0.36	1.00	-27.48	7.67	99.50	689.22	5.40	102.33	476.03	0
modcloth.com.	0	com	2.025	10.0	0.203	0.20	0.00	0.10	0.00	0.50	1.00	-26.02	9.00	135.33	1832.50	4.39	100.55	1764.53	0
myblogguest.com.	0	com	2.352	13.0	0.181	0.23	0.00	0.08	0.00	0.62	1.00	-26.63	10.45	153.33	1568.09	5.65	131.86	2038.14	0
tokyo-porn-tube.com.	0	com	2.395	17.0	0.141	0.29	0.00	0.12	0.00	0.24	1.00	-40.30	10.87	187.31	2311.93	7.25	141.75	2106.76	0
discuz.net.	0	net	1.906	8.0	0.238	0.25	0.00	0.00	0.00	0.25	1.00	-25.05	11.50	188.29	2807.33	6.90	137.20	2688.42	0
advertisernets.com.	0	com	2.220	16.0	0.139	0.31	0.00	0.25	0.00	0.50	1.00	-33.48	6.21	78.47	521.00	5.31	105.72	524.97	0
acrobat.com.	0	com	1.889	9.0	0.210	0.33	0.00	0.11	0.00	0.22	1.00	-23.74	6.43	85.12	1223.71	4.44	67.70	699.42	0
whitehouse.gov.	0	gov	2.138	12.0	0.178	0.42	0.00	0.17	0.00	0.17	1.00	-36.08	8.90	117.09	1118.20	7.05	119.45	1014.63	0
umich.edu.	0	edu	1.748	7.0	0.250	0.29	0.00	0.00	0.00	0.29	1.00	-24.95	11.00	126.33	1426.40	4.24	62.38	1030.05	0
sdpnoticias.com.	0	com	2.245	13.0	0.173	0.31	0.00	0.15	0.00	0.31	0.00	-38.79	6.73	155.17	4503.55	3.69	171.37	6580.46	0
192.com.	0	com	1.332	5.0	0.266	0.00	0.60	0.00	0.60	0.00	1.00	-12.99	30.33	525.25	7229.33	4.03	183.46	1930.65	0
locaweb.com.br.	0	com.br	2.043	9.0	0.227	0.33	0.00	0.00	0.00	0.00	1.00	-26.70	8.71	137.88	1963.86	6.86	82.96	3267.55	0
canstockphoto.com.	0	com	2.211	15.0	0.147	0.27	0.00	0.20	0.00	0.47	1.00	-32.66	8.23	112.00	900.08	5.16	132.76	1312.96	0
attracta.com.	0	com	1.505	10.0	0.150	0.30	0.00	0.20	0.00	0.50	1.00	-25.03	5.38	75.00	1129.50	2.83	68.76	1084.94	0
bitbucket.org.	0	org	2.020	11.0	0.184	0.27	0.00	0.18	0.00	0.36	1.00	-28.48	10.00	133.30	1201.00	5.35	99.56	1136.74	0
olx.co.za.	0	co.za	1.332	5.0	0.266	0.20	0.00	0.00	0.00	0.40	0.00	-20.52	12.00	277.75	2885.00	8.83	237.82	949.34	0
namejet.com.	0	com	1.889	9.0	0.210	0.33	0.00	0.11	0.00	0.00	1.00	-22.50	8.00	136.50	2144.00	8.18	149.23	2350.20	0
wallpaperswide.com.	0	com	2.253	16.0	0.141	0.31	0.00	0.31	0.00	0.38	1.00	-35.40	8.64	127.93	1133.29	6.66	99.35	1240.29	0
hdwallpapers.in.	0	in	2.243	14.0	0.160	0.21	0.00	0.21	0.00	0.57	1.00	-35.10	9.33	160.08	1231.00	6.14	143.45	1338.41	0
megaindex.ru.	0	ru	2.146	11.0	0.195	0.36	0.00	0.09	0.00	0.18	1.00	-29.00	8.78	92.10	785.11	7.38	69.77	783.27	0
mentalfloss.com.	0	com	2.245	13.0	0.173	0.23	0.00	0.15	0.00	0.54	1.00	-30.44	7.27	93.17	1433.82	5.03	120.58	2408.42	0
intodns.com.	0	com	1.889	9.0	0.210	0.22	0.00	0.11	0.00	0.56	1.00	-21.03	6.71	101.38	1245.43	2.81	115.74	1431.57	0
nieuwsblad.be.	0	be	2.369	12.0	0.197	0.33	0.00	0.00	0.00	0.33	0.00	-44.69	9.00	192.00	3334.20	6.00	159.51	2822.07	0
jal.co.jp.	0	co.jp	1.332	5.0	0.266	0.20	0.00	0.00	0.00	0.00	1.00	-17.13	12.33	135.50	1874.00	10.08	99.24	2166.90	0
pcwelt.de.	0	de	1.906	8.0	0.238	0.12	0.00	0.00	0.00	0.62	0.00	-25.71	10.33	214.29	3323.50	6.16	218.67	2379.78	0
joydownload.com.	0	com	2.098	13.0	0.161	0.31	0.00	0.15	0.00	0.38	1.00	-25.75	10.73	200.42	1479.73	7.84	115.82	1958.52	0
comodo.com.	0	com	1.494	8.0	0.187	0.38	0.00	0.12	0.00	0.00	1.00	-18.13	7.00	76.86	594.50	4.04	42.06	411.93	0
calottery.com.	0	com	2.146	11.0	0.195	0.27	0.00	0.09	0.00	0.36	1.00	-23.46	7.11	75.20	515.11	5.11	77.06	352.32	0
acunn.com.	0	com	1.550	7.0	0.221	0.29	0.00	0.14	0.00	0.29	1.00	-20.30	8.20	125.67	2628.40	3.60	90.03	1607.49	0
extremetracking.com.	0	com	2.395	17.0	0.141	0.29	0.00	0.18	0.00	0.53	1.00	-34.92	8.13	92.81	551.33	6.54	85.56	629.54	0
eamroomsnacks.com.	0	com	2.246	15.0	0.150	0.33	0.00	0.27	0.00	0.53	1.00	-41.22	6.54	147.36	1862.62	4.70	144.37	1767.88	0
proceso.com.mx.	0	com.mx	1.889	9.0	0.210	0.33	0.00	0.11	0.00	0.22	1.00	-28.25	6.00	78.50	931.14	4.21	49.78	820.70	0
teamtreehouse.com.	0	com	2.154	15.0	0.144	0.47	0.00	0.13	0.00	0.20	1.00	-36.33	5.77	99.29	1250.62	4.98	124.14	1465.84	0
fab.com.	0	com	1.332	5.0	0.266	0.20	0.00	0.00	0.00	0.00	1.00	-11.56	12.33	143.75	1378.67	7.59	52.15	1102.67	0
rzb.ir.	0	ir	1.332	5.0	0.266	0.00	0.00	0.00	0.00	0.60	0.00	-21.01	15.33	373.00	8564.67	7.76	231.40	1419.92	0
finviz.com.	0	com	1.733	8.0	0.217	0.25	0.00	0.12	0.00	0.25	1.00	-20.14	13.83	169.86	1580.33	8.73	125.09	1313.36	0
svyaznoy.ru.	0	ru	2.025	10.0	0.203	0.20	0.00	0.10	0.00	0.50	0.00	-35.71	12.88	314.11	6376.38	8.71	229.12	2705.65	0
celebritynetworth.com.	0	com	2.452	19.0	0.129	0.26	0.00	0.16	0.00	0.53	1.00	-43.61	8.35	118.44	948.35	6.05	106.65	1128.81	0
firestorage.jp.	0	jp	2.245	13.0	0.173	0.38	0.00	0.15	0.00	0.15	1.00	-29.61	6.45	52.33	305.91	5.84	50.74	390.25	0
esmas.com.	0	com	1.550	7.0	0.221	0.29	0.00	0.14	0.00	0.29	1.00	-16.86	4.80	64.17	789.60	3.49	82.38	667.57	0
dasoertliche.de.	0	de	2.441	14.0	0.174	0.36	0.00	0.07	0.00	0.36	1.00	-43.19	6.42	96.15	1826.25	4.66	107.78	2293.27	0
onedio.com.	0	com	1.733	8.0	0.217	0.50	0.00	0.12	0.00	0.00	1.00	-19.52	5.17	62.71	574.50	3.72	47.56	581.55	0
xiu.com.	0	com	1.332	5.0	0.266	0.40	0.00	0.00	0.00	0.00	0.00	-12.69	13.67	300.50	3321.00	8.18	87.92	1743.88	0
rakuten-card.co.jp.	0	co.jp	2.342	14.0	0.167	0.29	0.00	0.14	0.00	0.14	1.00	-40.27	9.00	147.46	1567.92	6.38	127.80	1393.88	0
balatarin.com.	0	com	1.972	11.0	0.179	0.36	0.00	0.09	0.00	0.00	1.00	-25.36	6.11	32.70	305.22	4.04	22.38	141.68	0
nwsource.com.	0	com	2.164	10.0	0.216	0.30	0.00	0.00	0.00	0.50	1.00	-27.67	8.38	151.78	3485.12	5.96	119.89	4707.02	0
justcloud.com.	0	com	2.146	11.0	0.195	0.27	0.00	0.09	0.00	0.36	1.00	-27.49	10.89	153.50	1397.11	6.28	99.23	742.31	0
secondlife.com.	0	com	2.254	12.0	0.188	0.33	0.00	0.08	0.00	0.25	1.00	-28.36	7.30	99.00	770.00	5.55	115.57	678.37	0
appgame.com.	0	com	1.735	9.0	0.193	0.33	0.00	0.22	0.00	0.33	1.00	-18.81	8.57	150.38	2098.86	6.14	182.74	3081.23	0
globovision.com.	0	com	2.098	13.0	0.161	0.38	0.00	0.15	0.00	0.15	1.00	-30.15	8.36	104.83	1239.18	6.21	72.89	1962.58	0
madmimi.com.	0	com	1.523	9.0	0.169	0.33	0.00	0.22	0.00	0.22	1.00	-23.65	7.86	121.25	1675.29	3.98	104.36	1132.17	0
redvak.com.	0	com	1.906	8.0	0.238	0.25	0.00	0.00	0.00	0.25	1.00	-22.78	10.17	166.43	3253.50	7.88	128.10	2915.26	0
isbank.com.tr.	0	com.tr	1.906	8.0	0.238	0.25	0.00	0.00	0.00	0.50	1.00	-27.47	8.67	120.57	1240.17	5.88	99.85	1431.61	0
bgr.com.	0	com	1.332	5.0	0.266	0.00	0.00	0.00	0.00	0.60	0.00	-15.78	12.33	225.75	5512.00	4.50	245.74	954.24	0
webnode.com.	0	com	1.889	9.0	0.210	0.33	0.00	0.11	0.00	0.22	0.00	-20.05	8.71	150.50	1767.14	7.11	153.41	1932.09	0
fmworld.net.	0	net	2.043	9.0	0.227	0.11	0.00	0.00	0.00	0.67	0.00	-25.68	11.71	249.00	4442.00	6.23	216.16	6063.98	0
clip.dj.	0	dj	1.561	6.0	0.260	0.17	0.00	0.00	0.00	0.33	1.00	-26.31	9.25	114.80	648.50	3.56	78.11	341.88	0
couchsurfing.org.	0	org	2.342	14.0	0.167	0.29	0.00	0.14	0.00	0.50	1.00	-39.28	10.42	141.08	1668.00	5.25	136.14	1890.60	0
anspress.com.	0	com	1.834	10.0	0.183	0.20	0.00	0.10	0.00	0.60	1.00	-20.81	5.75	59.89	457.75	3.73	57.68	550.26	0
dafiti.com.br.	0	com.br	1.733	8.0	0.217	0.38	0.00	0.12	0.00	0.00	1.00	-26.08	8.17	101.14	1246.67	6.18	62.72	976.00	0
esuteru.com.	0	com	1.735	9.0	0.193	0.44	0.00	0.22	0.00	0.00	1.00	-27.74	6.57	94.88	1962.14	4.59	74.36	2367.53	0
bitcoincharts.com.	0	com	2.338	15.0	0.156	0.27	0.00	0.20	0.00	0.53	1.00	-34.26	7.54	93.14	569.85	4.33	82.00	404.66	0
showup.tv.	0	tv	1.906	8.0	0.238	0.25	0.00	0.00	0.00	0.25	1.00	-25.20	12.17	190.43	3101.83	6.34	195.94	3733.23	0
