ip	class	tld	entropy	len	norm_entropy	vowel_ratio	digit_ratio	repeat_letter	consec_digit	consec_consonant	gib_value	hmm_log	uni_rank	bi_rank	tri_rank	uni_std	bi_std	tri_std	private_tld
google.com.	0	com	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-15.11	8.00	104.00	510.50	6.16	82.62	349.35	0
facebook.com.	0	com	2.025	10.0	0.203	0.40	0.00	0.10	0.00	0.00	1.00	-20.13	9.00	119.00	694.25	7.28	43.49	650.26	0
youtube.com.	0	com	1.889	9.0	0.210	0.44	0.00	0.11	0.00	0.00	1.00	-13.74	10.14	132.50	259.00	6.13	66.81	187.79	0
yahoo.com.	0	com	1.550	7.0	0.221	0.43	0.00	0.14	0.00	0.00	0.00	-18.12	8.80	154.50	1808.80	7.55	98.98	1444.87	0
baidu.com.	0	com	1.748	7.0	0.250	0.43	0.00	0.00	0.00	0.00	1.00	-17.81	9.20	130.83	1763.40	5.19	71.11	1047.71	0
wikipedia.org.	0	org	1.972	11.0	0.179	0.45	0.00	0.09	0.00	0.00	1.00	-28.07	8.89	124.00	1243.78	7.05	73.23	1472.05	0
qq.com.	0	com	0.693	4.0	0.173	0.00	0.00	0.25	0.00	0.50	0.00	-9.94	30.00	503.33	5188.00	0.00	167.85	1831.00	0
linkedin.com.	0	com	1.887	10.0	0.189	0.30	0.00	0.20	0.00	0.20	1.00	-22.13	8.00	63.11	546.38	4.97	54.94	706.10	0
taobao.com.	0	com	1.560	8.0	0.195	0.50	0.00	0.25	0.00	0.00	0.00	-20.18	5.33	129.71	1614.00	4.64	103.35	1150.88	0
twitter.com.	0	com	1.677	9.0	0.186	0.22	0.00	0.11	0.00	0.44	1.00	-18.64	7.57	103.38	809.43	5.85	107.55	571.45	0
live.com.	0	com	1.561	6.0	0.260	0.33	0.00	0.00	0.00	0.00	1.00	-10.18	9.00	68.20	163.00	8.03	58.25	114.98	0
amazon.com.	0	com	1.733	8.0	0.217	0.38	0.00	0.12	0.00	0.00	1.00	-17.47	8.50	101.43	946.17	8.10	118.15	846.31	0
sina.com.cn.	0	com.cn	1.561	6.0	0.260	0.33	0.00	0.00	0.00	0.00	1.00	-19.81	4.75	32.80	219.75	2.17	27.73	57.29	0
google.co.in.	0	co.in	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-24.15	8.00	104.00	510.50	6.16	82.62	349.35	0
hao123.com.	0	com	1.906	8.0	0.238	0.25	0.38	0.00	0.38	0.00	0.00	-15.87	18.00	352.29	2826.67	11.78	204.50	2377.37	0
blogspot.com.	0	com	2.025	10.0	0.203	0.20	0.00	0.10	0.00	0.50	1.00	-15.43	9.00	100.00	250.00	5.02	66.42	224.10	0
weibo.com.	0	com	1.748	7.0	0.250	0.43	0.00	0.00	0.00	0.00	1.00	-18.15	8.80	143.67	2049.20	7.81	73.44	1540.06	0
wordpress.com.	0	com	2.020	11.0	0.184	0.18	0.00	0.18	0.00	0.55	1.00	-19.73	8.11	113.30	487.89	5.97	116.77	633.97	0
yandex.ru.	0	ru	1.906	8.0	0.238	0.25	0.00	0.00	0.00	0.25	1.00	-21.49	11.00	128.71	800.50	8.41	85.45	617.46	0
yahoo.co.jp.	0	co.jp	1.550	7.0	0.221	0.43	0.00	0.14	0.00	0.00	0.00	-23.53	8.80	154.50	1808.80	7.55	98.98	1444.87	0
bing.com.	0	com	1.561	6.0	0.260	0.17	0.00	0.00	0.00	0.33	1.00	-10.88	10.75	65.00	299.25	4.97	52.90	395.61	0
tmall.com.	0	com	1.550	7.0	0.221	0.14	0.00	0.14	0.00	0.57	1.00	-16.65	7.60	95.00	1190.20	3.07	107.34	1184.80	0
360.cn.	0	cn	1.332	5.0	0.266	0.00	0.60	0.00	0.60	0.00	1.00	-12.27	31.67	438.00	1860.00	2.49	72.27	268.48	0
vk.com.	0	com	1.040	4.0	0.260	0.00	0.00	0.00	0.00	0.50	0.00	-11.18	20.00	341.33	7058.50	2.00	296.19	1593.50	0
ebay.com.	0	com	1.561	6.0	0.260	0.33	0.00	0.00	0.00	0.00	0.00	-13.63	9.25	99.20	941.00	7.89	37.59	522.68	0
sohu.com.	0	com	1.561	6.0	0.260	0.33	0.00	0.00	0.00	0.00	0.00	-13.10	9.50	186.20	1524.75	5.72	125.33	869.78	0
google.de.	0	de	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-19.35	8.00	104.00	510.50	6.16	82.62	349.35	0
pinterest.com.	0	com	2.020	11.0	0.184	0.27	0.00	0.18	0.00	0.36	1.00	-22.10	5.89	31.80	149.56	3.73	47.72	148.95	0
google.co.uk.	0	co.uk	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-20.78	8.00	104.00	510.50	6.16	82.62	349.35	0
ask.com.	0	com	1.332	5.0	0.266	0.20	0.00	0.00	0.00	0.40	1.00	-11.97	8.33	112.25	1249.67	6.94	99.14	574.00	0
google.fr.	0	fr	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-19.45	8.00	104.00	510.50	6.16	82.62	349.35	0
163.com.	0	com	1.332	5.0	0.266	0.00	0.60	0.00	0.60	0.00	1.00	-10.71	31.00	508.00	4206.00	3.27	190.44	558.58	0
soso.com.	0	com	1.099	6.0	0.183	0.33	0.00	0.33	0.00	0.00	1.00	-16.01	4.00	74.60	1454.75	1.00	44.27	813.57	0
msn.com.	0	com	1.332	5.0	0.266	0.00	0.00	0.00	0.00	0.60	0.00	-14.35	8.00	161.75	3767.67	2.45	136.44	1220.20	0
tumblr.com.	0	com	1.906	8.0	0.238	0.12	0.00	0.00	0.00	0.50	1.00	-19.22	10.17	190.57	2069.00	3.18	156.82	1045.98	0
instagram.com.	0	com	2.146	11.0	0.195	0.27	0.00	0.09	0.00	0.45	1.00	-25.62	6.78	81.50	592.78	4.24	65.66	631.40	0
google.co.jp.	0	co.jp	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-20.52	8.00	104.00	510.50	6.16	82.62	349.35	0
mail.ru.	0	ru	1.561	6.0	0.260	0.33	0.00	0.00	0.00	0.00	1.00	-14.53	6.50	58.80	269.75	3.64	32.15	222.09	0
microsoft.com.	0	com	2.146	11.0	0.195	0.27	0.00	0.09	0.00	0.36	1.00	-24.53	7.67	116.10	932.67	5.12	89.73	578.73	0
google.com.br.	0	com.br	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-20.40	8.00	104.00	510.50	6.16	82.62	349.35	0
google.ru.	0	ru	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-18.69	8.00	104.00	510.50	6.16	82.62	349.35	0
paypal.com.	0	com	1.560	8.0	0.195	0.25	0.00	0.25	0.00	0.25	1.00	-17.83	10.00	114.71	1128.67	6.35	97.04	956.14	0
xvideos.com.	0	com	2.043	9.0	0.227	0.33	0.00	0.00	0.00	0.22	1.00	-17.89	10.14	189.50	1274.86	8.74	207.00	1529.83	0
google.es.	0	es	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-22.33	8.00	104.00	510.50	6.16	82.62	349.35	0
imdb.com.	0	com	1.561	6.0	0.260	0.17	0.00	0.00	0.00	0.50	0.00	-15.72	10.50	265.60	3953.75	4.03	171.45	2865.44	0
apple.com.	0	com	1.550	7.0	0.221	0.29	0.00	0.14	0.00	0.43	1.00	-13.52	8.00	100.67	612.60	5.62	89.64	562.87	0
google.it.	0	it	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-21.15	8.00	104.00	510.50	6.16	82.62	349.35	0
xinhuanet.com.	0	com	2.146	11.0	0.195	0.36	0.00	0.09	0.00	0.18	1.00	-25.72	9.33	158.90	1244.56	7.06	150.98	984.82	0
craigslist.org.	0	org	2.138	12.0	0.178	0.25	0.00	0.17	0.00	0.58	1.00	-32.49	6.80	105.00	1268.20	3.82	97.90	1469.39	0
amazon.co.jp.	0	co.jp	1.733	8.0	0.217	0.38	0.00	0.12	0.00	0.00	1.00	-22.88	8.50	101.43	946.17	8.10	118.15	846.31	0
stackoverflow.com.	0	com	2.523	15.0	0.168	0.27	0.00	0.07	0.00	0.47	1.00	-35.60	9.77	139.71	1478.54	7.45	114.32	1738.57	0
imgur.com.	0	com	1.748	7.0	0.250	0.29	0.00	0.00	0.00	0.29	0.00	-17.79	10.00	179.50	2691.40	4.43	154.79	2808.31	0
neobux.com.	0	com	1.906	8.0	0.238	0.38	0.00	0.00	0.00	0.00	0.00	-21.90	10.67	186.00	2224.50	7.76	118.65	1161.30	0
google.com.hk.	0	com.hk	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-24.61	8.00	104.00	510.50	6.16	82.62	349.35	0
adcash.com.	0	com	1.733	8.0	0.217	0.25	0.00	0.12	0.00	0.50	1.00	-18.14	8.00	118.86	1099.67	5.51	114.99	1112.22	0
ifeng.com.	0	com	1.748	7.0	0.250	0.29	0.00	0.00	0.00	0.29	1.00	-15.88	9.80	112.67	1158.20	7.17	80.47	1014.34	0
xhamster.com.	0	com	2.164	10.0	0.216	0.20	0.00	0.00	0.00	0.50	1.00	-23.96	9.12	162.22	2042.75	7.37	221.20	2261.45	0
google.com.mx.	0	com.mx	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-21.56	8.00	104.00	510.50	6.16	82.62	349.35	0
bbc.co.uk.	0	co.uk	1.055	5.0	0.211	0.00	0.00	0.20	0.00	0.60	0.00	-18.88	13.33	246.00	3993.00	2.36	149.73	2516.10	0
reddit.com.	0	com	1.733	8.0	0.217	0.25	0.00	0.12	0.00	0.25	1.00	-18.90	7.00	90.14	903.83	4.00	103.81	800.90	0
cnn.com.	0	com	1.055	5.0	0.211	0.00	0.00	0.20	0.00	0.60	0.00	-14.55	8.67	170.00	3118.00	0.94	150.92	2158.14	0
blogger.com.	0	com	1.889	9.0	0.210	0.22	0.00	0.11	0.00	0.44	1.00	-14.30	9.43	109.25	445.00	5.88	114.88	552.86	0
fc2.com.	0	com	1.332	5.0	0.266	0.00	0.20	0.00	0.00	0.40	0.00	-14.50	19.33	455.75	8189.33	7.36	275.33	3664.17	0
google.ca.	0	ca	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-22.43	8.00	104.00	510.50	6.16	82.62	349.35	0
people.com.cn.	0	com.cn	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-25.86	7.00	95.29	1050.17	5.63	67.73	810.78	0
akamaihd.net.	0	net	1.834	10.0	0.183	0.40	0.00	0.10	0.00	0.20	0.00	-31.40	8.50	179.22	3208.75	6.40	163.71	3492.32	0
gmw.cn.	0	cn	1.332	5.0	0.266	0.00	0.00	0.00	0.00	0.60	0.00	-18.09	16.00	361.75	7769.67	4.08	212.99	4853.06	0
go.com.	0	com	1.040	4.0	0.260	0.25	0.00	0.00	0.00	0.00	1.00	-7.87	9.50	87.00	362.00	6.50	46.54	247.00	0
vube.com.	0	com	1.561	6.0	0.260	0.33	0.00	0.00	0.00	0.00	1.00	-14.48	12.75	212.00	4110.75	7.56	214.90	5113.29	0
about.com.	0	com	1.748	7.0	0.250	0.43	0.00	0.00	0.00	0.00	1.00	-16.30	8.00	90.17	952.80	5.22	54.80	411.26	0
alipay.com.	0	com	1.733	8.0	0.217	0.38	0.00	0.12	0.00	0.00	1.00	-17.37	8.33	80.43	638.50	6.39	67.53	495.93	0
t.co.	0	co	0.637	3.0	0.212	0.00	0.00	0.00	0.00	0.00	1.00	-16.44	7.00	20.00	14579.00	0.00	3.00	0.00	0
wordpress.org.	0	org	2.020	11.0	0.184	0.18	0.00	0.18	0.00	0.55	1.00	-23.92	8.11	113.30	487.89	5.97	116.77	633.97	0
googleusercontent.com.	0	com	2.306	19.0	0.121	0.37	0.00	0.26	0.00	0.42	1.00	-45.99	6.88	87.78	787.94	4.69	85.19	998.16	0
odnoklassniki.ru.	0	ru	2.154	15.0	0.144	0.33	0.00	0.33	0.00	0.47	1.00	-46.50	7.62	185.07	2692.69	5.20	111.31	1698.02	0
alibaba.com.	0	com	1.523	9.0	0.169	0.44	0.00	0.22	0.00	0.00	1.00	-20.80	7.00	80.88	759.00	5.55	78.36	397.45	0
youku.com.	0	com	1.550	7.0	0.221	0.43	0.00	0.14	0.00	0.00	1.00	-16.60	13.20	231.17	2041.00	5.67	101.02	1849.04	0
conduit.com.	0	com	2.043	9.0	0.227	0.33	0.00	0.00	0.00	0.22	1.00	-25.13	8.14	88.38	1502.57	3.52	96.16	2016.20	0
google.com.tr.	0	com.tr	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-24.41	8.00	104.00	510.50	6.16	82.62	349.35	0
godaddy.com.	0	com	1.677	9.0	0.186	0.22	0.00	0.11	0.00	0.33	1.00	-20.46	10.86	160.12	1432.43	5.82	113.91	968.63	0
aliexpress.com.	0	com	2.138	12.0	0.178	0.33	0.00	0.17	0.00	0.42	1.00	-25.98	7.10	84.82	1002.40	6.76	97.43	1781.69	0
flickr.com.	0	com	1.906	8.0	0.238	0.12	0.00	0.00	0.00	0.62	1.00	-19.28	11.17	143.86	1757.50	5.90	146.00	1685.15	0
huffingtonpost.com.	0	com	2.339	16.0	0.146	0.25	0.00	0.25	0.00	0.56	1.00	-34.29	10.36	151.80	1179.29	5.94	157.91	1254.41	0
pornhub.com.	0	com	2.043	9.0	0.227	0.22	0.00	0.00	0.00	0.33	1.00	-20.00	10.86	159.75	1687.71	4.82	118.38	2153.74	0
google.com.au.	0	com.au	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-22.21	8.00	104.00	510.50	6.16	82.62	349.35	0
adobe.com.	0	com	1.748	7.0	0.250	0.43	0.00	0.00	0.00	0.00	1.00	-16.70	6.60	80.17	1259.60	5.75	58.43	1320.23	0
amazon.de.	0	de	1.733	8.0	0.217	0.38	0.00	0.12	0.00	0.00	1.00	-21.05	8.50	101.43	946.17	8.10	118.15	846.31	0
ebay.de.	0	de	1.561	6.0	0.260	0.33	0.00	0.00	0.00	0.00	0.00	-18.68	9.25	99.20	941.00	7.89	37.59	522.68	0
blogspot.in.	0	in	2.025	10.0	0.203	0.20	0.00	0.10	0.00	0.50	1.00	-21.39	9.00	100.00	250.00	5.02	66.42	224.10	0
netflix.com.	0	com	2.043	9.0	0.227	0.22	0.00	0.00	0.00	0.33	0.00	-20.63	10.43	168.12	1664.57	7.80	139.65	1553.84	0
google.pl.	0	pl	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-20.43	8.00	104.00	510.50	6.16	82.62	349.35	0
kickass.to.	0	to	1.735	9.0	0.193	0.22	0.00	0.22	0.00	0.44	1.00	-32.63	8.86	108.88	1305.71	6.20	65.45	1248.68	0
bp.blogspot.com.	0	com	2.025	10.0	0.203	0.20	0.00	0.10	0.00	0.50	1.00	-27.23	9.00	100.00	250.00	5.02	66.42	224.10	0
thepiratebay.se.	0	se	2.243	14.0	0.160	0.36	0.00	0.21	0.00	0.14	1.00	-39.31	7.92	84.69	815.67	6.32	57.46	722.71	0
weather.com.	0	com	1.889	9.0	0.210	0.33	0.00	0.11	0.00	0.22	1.00	-17.42	7.86	58.50	448.71	7.45	37.39	584.36	0
vimeo.com.	0	com	1.748	7.0	0.250	0.43	0.00	0.00	0.00	0.00	1.00	-18.39	8.20	109.83	1847.20	7.68	61.42	2044.30	0
ku6.com.	0	com	1.332	5.0	0.266	0.20	0.20	0.00	0.00	0.00	1.00	-13.69	22.00	561.75	9504.33	9.42	435.26	5870.39	0
dailymotion.com.	0	com	2.245	13.0	0.173	0.38	0.00	0.15	0.00	0.23	1.00	-24.58	7.45	103.83	640.45	4.89	89.90	751.34	0
cnet.com.	0	com	1.561	6.0	0.260	0.17	0.00	0.00	0.00	0.33	0.00	-13.70	6.50	94.20	1131.00	3.35	146.56	1341.51	0
espn.go.com.	0	com	1.040	4.0	0.260	0.25	0.00	0.00	0.00	0.00	1.00	-24.50	9.50	87.00	362.00	6.50	46.54	247.00	0
dailymail.co.uk.	0	co.uk	1.894	11.0	0.172	0.36	0.00	0.27	0.00	0.27	1.00	-27.59	8.00	117.10	698.22	5.29	91.66	727.72	0
rakuten.co.jp.	0	co.jp	2.043	9.0	0.227	0.33	0.00	0.00	0.00	0.00	1.00	-27.94	7.86	108.00	1301.57	5.54	103.20	1189.92	0
ebay.co.uk.	0	co.uk	1.561	6.0	0.260	0.33	0.00	0.00	0.00	0.00	0.00	-19.31	9.25	99.20	941.00	7.89	37.59	522.68	0
livejasmin.com.	0	com	2.254	12.0	0.188	0.33	0.00	0.08	0.00	0.17	1.00	-27.60	9.20	133.36	1353.60	8.01	123.47	1381.77	0
xnxx.com.	0	com	1.011	6.0	0.169	0.00	0.00	0.17	0.00	0.67	0.00	-14.13	20.00	427.20	4453.00	6.93	180.92	1261.54	0
themeforest.net.	0	net	2.098	13.0	0.161	0.31	0.00	0.15	0.00	0.31	1.00	-28.48	7.18	61.75	416.18	6.13	69.83	787.65	0
indiatimes.com.	0	com	2.095	12.0	0.175	0.42	0.00	0.08	0.00	0.17	1.00	-22.15	5.80	44.36	202.90	3.46	39.67	279.69	0
aol.com.	0	com	1.332	5.0	0.266	0.40	0.00	0.00	0.00	0.00	0.00	-13.67	4.67	117.50	2736.67	3.09	94.48	1645.18	0
amazonaws.com.	0	com	1.972	11.0	0.179	0.36	0.00	0.09	0.00	0.18	1.00	-27.19	8.78	127.70	1748.89	8.19	125.80	1809.53	0
uol.com.br.	0	com.br	1.332	5.0	0.266	0.40	0.00	0.00	0.00	0.00	0.00	-17.66	8.33	178.25	1256.33	4.11	122.54	590.25	0
dropbox.com.	0	com	1.889	9.0	0.210	0.22	0.00	0.11	0.00	0.44	0.00	-20.14	11.00	203.88	1827.86	7.05	149.62	1701.47	0
redtube.com.	0	com	1.889	9.0	0.210	0.33	0.00	0.11	0.00	0.22	1.00	-18.29	7.86	125.38	1103.43	5.25	118.38	1553.79	0
china.com.	0	com	1.748	7.0	0.250	0.29	0.00	0.00	0.00	0.29	1.00	-13.58	8.20	48.83	177.80	5.23	41.29	61.44	0
amazon.co.uk.	0	co.uk	1.733	8.0	0.217	0.38	0.00	0.12	0.00	0.00	1.00	-23.14	8.50	101.43	946.17	8.10	118.15	846.31	0
google.com.ar.	0	com.ar	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-25.44	8.00	104.00	510.50	6.16	82.62	349.35	0
google.com.sa.	0	com.sa	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-27.79	8.00	104.00	510.50	6.16	82.62	349.35	0
pixnet.net.	0	net	1.906	8.0	0.238	0.25	0.00	0.00	0.00	0.25	0.00	-20.78	9.67	177.86	2638.17	7.54	228.22	3368.90	0
nytimes.com.	0	com	2.043	9.0	0.227	0.22	0.00	0.00	0.00	0.33	1.00	-19.97	7.86	120.00	1501.29	5.41	123.32	1629.69	0
youporn.com.	0	com	1.889	9.0	0.210	0.33	0.00	0.11	0.00	0.22	1.00	-16.30	9.43	124.62	422.43	5.63	81.55	338.41	0
slideshare.net.	0	net	2.138	12.0	0.178	0.33	0.00	0.17	0.00	0.33	1.00	-30.32	6.20	61.45	511.90	4.87	82.93	507.41	0
m2newmedia.com.	0	com	2.138	12.0	0.178	0.33	0.08	0.17	0.00	0.17	1.00	-30.16	9.90	263.64	4841.40	8.47	363.25	5800.84	0
google.com.eg.	0	com.eg	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-29.84	8.00	104.00	510.50	6.16	82.62	349.35	0
globo.com.	0	com	1.550	7.0	0.221	0.29	0.00	0.14	0.00	0.29	1.00	-17.19	9.20	121.17	1129.20	5.60	80.83	217.58	0
adf.ly.	0	ly	1.332	5.0	0.266	0.20	0.00	0.00	0.00	0.40	0.00	-23.05	11.33	204.25	2365.67	7.36	168.62	1547.68	0
wikimedia.org.	0	org	1.972	11.0	0.179	0.45	0.00	0.09	0.00	0.00	1.00	-25.17	8.56	109.70	742.89	6.87	75.06	1004.60	0
booking.com.	0	com	1.889	9.0	0.210	0.33	0.00	0.11	0.00	0.22	1.00	-14.60	9.57	93.88	314.43	6.11	65.23	497.80	0
mozilla.org.	0	org	1.889	9.0	0.210	0.33	0.00	0.11	0.00	0.22	1.00	-25.13	9.00	131.62	1721.71	7.27	133.89	1661.03	0
fiverr.com.	0	com	1.733	8.0	0.217	0.25	0.00	0.12	0.00	0.25	1.00	-19.01	9.83	105.57	1710.50	8.09	90.21	2031.95	0
secureserver.net.	0	net	1.810	14.0	0.129	0.36	0.00	0.21	0.00	0.14	1.00	-31.25	6.42	72.85	396.42	5.92	94.22	350.21	0
buzzfeed.com.	0	com	1.887	10.0	0.189	0.30	0.00	0.20	0.00	0.30	1.00	-22.69	14.00	261.78	3249.88	8.82	230.94	3848.59	0
livejournal.com.	0	com	2.352	13.0	0.181	0.38	0.00	0.08	0.00	0.15	1.00	-22.91	9.36	123.67	497.55	7.73	106.71	478.96	0
google.com.pk.	0	com.pk	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-24.19	8.00	104.00	510.50	6.16	82.62	349.35	0
directrev.com.	0	com	2.020	11.0	0.184	0.27	0.00	0.18	0.00	0.27	1.00	-23.77	7.67	100.50	664.11	6.13	82.99	928.99	0
ameblo.jp.	0	jp	1.906	8.0	0.238	0.38	0.00	0.00	0.00	0.25	1.00	-20.54	6.83	64.14	933.33	5.18	42.52	839.89	0
google.nl.	0	nl	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-21.32	8.00	104.00	510.50	6.16	82.62	349.35	0
yelp.com.	0	com	1.561	6.0	0.260	0.17	0.00	0.00	0.00	0.33	0.00	-14.58	10.75	213.40	1876.25	6.65	102.93	633.11	0
google.com.tw.	0	com.tw	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-22.73	8.00	104.00	510.50	6.16	82.62	349.35	0
sogou.com.	0	com	1.550	7.0	0.221	0.43	0.00	0.14	0.00	0.00	1.00	-19.36	8.00	110.83	1987.00	5.44	53.84	1787.11	0
deviantart.com.	0	com	2.138	12.0	0.178	0.33	0.00	0.17	0.00	0.33	1.00	-25.83	7.10	60.91	450.10	5.89	58.96	494.63	0
hootsuite.com.	0	com	2.020	11.0	0.184	0.45	0.00	0.18	0.00	0.18	1.00	-26.67	6.67	94.80	1123.11	4.90	71.17	1015.31	0
developunit.info.	0	info	2.352	13.0	0.181	0.38	0.00	0.08	0.00	0.00	1.00	-38.65	8.55	96.33	1018.82	6.11	77.21	842.90	0
flipkart.com.	0	com	2.164	10.0	0.216	0.20	0.00	0.00	0.00	0.60	0.00	-25.23	10.00	161.78	2341.62	6.18	181.56	2874.77	0
wikia.com.	0	com	1.550	7.0	0.221	0.43	0.00	0.14	0.00	0.00	1.00	-15.44	9.80	132.67	1468.00	8.01	82.28	1540.49	0
blogfa.com.	0	com	1.906	8.0	0.238	0.25	0.00	0.00	0.00	0.50	0.00	-16.82	10.83	156.86	1849.33	6.72	165.79	1958.57	0
etsy.com.	0	com	1.561	6.0	0.260	0.17	0.00	0.00	0.00	0.50	0.00	-16.98	8.00	121.40	2211.50	6.71	98.18	1670.09	0
outbrain.com.	0	com	2.164	10.0	0.216	0.40	0.00	0.00	0.00	0.30	1.00	-25.69	7.25	120.00	1408.25	4.35	98.97	1502.57	0
wikihow.com.	0	com	1.735	9.0	0.193	0.33	0.00	0.22	0.00	0.00	1.00	-22.44	12.57	215.25	2814.29	7.84	126.49	3652.02	0
clkmon.com.	0	com	1.906	8.0	0.238	0.12	0.00	0.00	0.00	0.50	1.00	-21.04	9.83	158.57	3493.00	4.45	154.92	3687.74	0
avg.com.	0	com	1.332	5.0	0.266	0.20	0.00	0.00	0.00	0.40	0.00	-13.48	13.33	257.75	5029.33	8.38	266.51	2960.11	0
google.co.th.	0	co.th	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-29.38	8.00	104.00	510.50	6.16	82.62	349.35	0
google.co.za.	0	co.za	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-23.39	8.00	104.00	510.50	6.16	82.62	349.35	0
stumbleupon.com.	0	com	2.352	13.0	0.181	0.31	0.00	0.08	0.00	0.38	1.00	-32.39	9.00	119.00	1397.82	4.45	105.86	1138.17	0
w3schools.com.	0	com	2.020	11.0	0.184	0.18	0.09	0.18	0.00	0.45	1.00	-26.73	11.56	245.10	3658.89	9.06	304.89	4677.22	0
soundcloud.com.	0	com	2.023	12.0	0.169	0.33	0.00	0.25	0.00	0.33	1.00	-28.63	8.80	128.82	1294.70	3.74	102.67	1067.31	0
livedoor.com.	0	com	2.025	10.0	0.203	0.40	0.00	0.10	0.00	0.00	1.00	-24.84	7.50	71.56	983.50	6.42	47.16	989.54	0
espncricinfo.com.	0	com	2.243	14.0	0.160	0.29	0.00	0.21	0.00	0.50	1.00	-36.95	7.75	140.46	2291.67	5.05	141.67	3260.35	0
theguardian.com.	0	com	2.352	13.0	0.181	0.38	0.00	0.08	0.00	0.31	1.00	-26.87	8.00	103.25	880.64	5.46	95.01	928.01	0
4shared.com.	0	com	2.043	9.0	0.227	0.22	0.11	0.00	0.00	0.22	1.00	-22.20	10.71	203.75	2465.43	10.14	262.60	3574.68	0
archive.org.	0	org	2.043	9.0	0.227	0.33	0.00	0.00	0.00	0.33	1.00	-21.92	8.86	80.75	570.14	7.38	70.12	835.73	0
files.wordpress.com.	0	com	2.020	11.0	0.184	0.18	0.00	0.18	0.00	0.55	1.00	-32.65	8.11	113.30	487.89	5.97	116.77	633.97	0
sourceforge.net.	0	net	2.138	13.0	0.164	0.38	0.00	0.23	0.00	0.31	1.00	-30.36	7.64	117.50	972.82	6.03	90.26	1003.31	0
badoo.com.	0	com	1.550	7.0	0.221	0.43	0.00	0.14	0.00	0.00	1.00	-17.73	7.00	67.33	1043.00	5.40	28.26	738.44	0
mediafire.com.	0	com	2.020	11.0	0.184	0.45	0.00	0.18	0.00	0.00	1.00	-22.64	6.78	70.20	687.11	6.01	65.68	1100.17	0
answers.com.	0	com	1.889	9.0	0.210	0.22	0.00	0.11	0.00	0.56	1.00	-19.29	6.86	91.75	838.86	6.17	104.44	1028.12	0
google.co.ve.	0	co.ve	1.560	8.0	0.195	0.38	0.00	0.25	0.00	0.25	1.00	-29.00	8.00	104.00	510.50	6.16	82.62	349.35	0
forbes.com.	0	com	1.906	8.0	0.238	0.25	0.00	0.00	0.00	0.25	1.00	-17.30	8.33	89.29	957.50	6.82	101.03	1081.57	0
bankofamerica.com.	0	com	2.396	15.0	0.160	0.40	0.00	0.07	0.00	0.13	1.00	-33.58	7.85	84.79	826.62	6.25	78.43	1009.35	0
torrentz.eu.	0	eu	1.887	10.0	0.189	0.20	0.00	0.20	0.00	0.50	1.00	-27.67	7.88	135.56	1321.38	6.83	175.63	2095.85	0
aweber.com.	0	com	1.733	8.0	0.217	0.38	0.00	0.12	0.00	0.00	1.00	-16.20	7.67	104.29	1028.17	7.70	101.49	1065.33	0
liveinternet.ru.	0	ru	2.008	14.0	0.143	0.36	0.00	0.29	0.00	0.29	1.00	-30.14	6.50	66.85	454.00	5.44	72.82	898.88	0
addthis.com.	0	com	1.889	9.0	0.210	0.22	0.00	0.11	0.00	0.44	1.00	-21.77	8.43	136.62	2015.00	4.98	139.90	2439.68	0
salesforce.com.	0	com	2.138	12.0	0.178	0.33	0.00	0.17	0.00	0.33	1.00	-26.92	6.20	91.64	798.10	5.46	108.22	833.19	0
foxnews.com.	0	com	2.043	9.0	0.227	0.22	0.00	0.00	0.00	0.44	0.00	-17.79	11.71	192.25	2061.86	8.91	208.19	2772.62	0
